Gender,DOB,Degree,Specialization,collegeGPA,GraduationYear,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
m,1990-08-10,B.Tech/B.E.,electronics and electrical engineering,60.0,2011,-0.4173,-1.0593,0.0914,-1.49467,-0.6035,100000
m,1991-08-13,B.Tech/B.E.,computer engineering,79.12,2012,-1.4992,0.3448,-2.3759,-0.9953,-0.2875,305000
f,1991-02-27,B.Tech/B.E.,computer engineering,78.85,2012,0.6646,0.7348,-1.1422,0.4148,-0.4455,410000
m,1991-10-23,B.Tech/B.E.,computer science & engineering,66.0,2013,-0.8772,-0.4536,-1.527,-0.1076,0.0973,200000
m,1988-02-11,B.Tech/B.E.,electronics and communication engineering,55.0,2010,-0.7264,1.2808,0.2366,0.6498,-0.1295,220000
f,1993-06-02,B.Tech/B.E.,information technology,74.9,2014,0.7027,0.7119,1.3933,-0.1076,0.0973,220000
m,1989-06-10,B.Tech/B.E.,electronics & telecommunications,63.17,2010,-0.1082,0.5008,0.0914,-0.4078,0.5024,475000
f,1991-09-14,B.Tech/B.E.,computer engineering,79.3,2013,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,360000
m,1991-01-23,B.Tech/B.E.,computer science & engineering,62.28,2013,0.7027,1.7109,1.7007,-2.5163,0.2889,120000
m,1988-06-13,B.Tech/B.E.,information technology,70.38,2011,0.8192,0.6568,0.672,-0.1727,0.0284,600000
m,1988-01-11,M.Tech./M.E.,other,82.5,2014,-1.8825,0.5454,-0.9122,-0.1076,-1.4356,420000
m,1991-08-12,MCA,computer application,81.0,2015,0.8192,-0.3684,-0.2882,0.0623,-0.7615,325000
m,1992-02-27,B.Tech/B.E.,electronics and communication engineering,68.34,2012,-0.880999999999999,-2.3073,-1.7954,0.3561,-0.2875,315000
m,1992-10-19,B.Tech/B.E.,electronics & telecommunications,77.0,2014,-0.0154,0.3789,0.7785,-0.2344,1.4386,400000
m,1993-11-21,B.Tech/B.E.,information technology,63.0,2013,-3.1994,-0.9033,-1.2148,-0.0552,-2.0253,250000
m,1991-07-24,B.Tech/B.E.,electronics and electrical engineering,61.0,2014,0.1282,-0.9531,0.1637,0.653,0.2889,200000
f,1991-11-16,B.Tech/B.E.,computer engineering,60.0,2013,-0.5899,-0.2871,0.7785,0.7798,-0.6692,200000
f,1991-08-05,B.Tech/B.E.,electronics and communication engineering,71.5,2014,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,400000
m,1989-03-06,B.Tech/B.E.,electronics and communication engineering,69.47,2010,-1.8083,-1.2153,-0.344,-0.2902,-0.9194,385000
m,1988-12-09,MCA,computer application,76.0,2013,1.2772,1.3779,0.4711,-1.8824,0.2889,145000
f,1988-06-23,B.Tech/B.E.,electronics & telecommunications,68.9,2010,0.3555,-0.2793,0.2366,-1.8179,-0.6035,510000
m,1990-10-01,B.Tech/B.E.,computer engineering,84.6,2013,1.1336,1.0449,1.3933,-0.4879,0.2889,365000
m,1991-11-07,B.Tech/B.E.,information technology,65.97,2013,1.1336,0.7119,0.4711,-0.8682,1.247,320000
m,1992-06-08,B.Tech/B.E.,electronics and communication engineering,72.86,2014,-1.1644,-0.1206,-0.7585,-0.6147,-0.2859,350000
m,1990-08-08,B.Tech/B.E.,electronics and electrical engineering,66.98,2012,-2.1175,-0.2793,0.5269,1.3549,-1.0774,120000
m,1992-04-07,MCA,computer application,78.0,2014,0.7027,1.3779,0.1637,0.9066,-0.2859,175000
m,1993-04-25,B.Tech/B.E.,electronics and electrical engineering,73.0,2014,-0.8772,0.3789,0.1637,1.4136,1.247,215000
m,1991-08-28,B.Tech/B.E.,information technology,65.0,2014,-2.0262,-0.9531,0.9322,-0.4879,-0.4776,400000
m,1993-05-12,B.Tech/B.E.,information technology,68.88,2014,-0.8772,-3.4506,0.9322,1.6672,-1.244,180000
m,1989-10-03,B.Tech/B.E.,mechanical & production engineering,58.0,2011,-0.5719,-1.2153,-1.5051,0.7673,-1.7093,100000
m,1991-08-01,MCA,computer application,76.72,2014,-2.3134,1.0449,0.1637,1.5404,0.0973,350000
m,1990-05-26,B.Tech/B.E.,electronics & telecommunications,54.75,2013,-0.4463,0.3789,0.4711,-0.7415,0.4805,145000
m,1992-01-02,B.Tech/B.E.,electronics and communication engineering,68.0,2013,0.5591,0.8784,0.4711,-1.1218,1.247,200000
m,1989-04-05,MCA,computer application,61.0,2013,0.8463,0.2124,0.9322,-2.2627,0.4805,205000
m,1991-08-20,B.Tech/B.E.,computer science & engineering,65.51,2013,-0.880999999999999,0.1888,-0.7794,0.00352999999999999,-0.6035,100000
m,1992-11-21,B.Tech/B.E.,electronics and communication engineering,75.0,2014,1.1336,1.0449,0.7785,-0.8682,0.8637,300000
m,1988-07-30,B.Tech/B.E.,electronics and communication engineering,95.7,2010,-1.4992,0.3448,-0.0537,-0.7603,0.5024,1100000
m,1992-03-10,B.Tech/B.E.,information technology,69.5,2013,0.2718,-1.4526,0.7785,-0.3612,-0.6692,235000
m,1991-12-05,B.Tech/B.E.,computer science & engineering,70.0,2014,1.2772,1.3779,1.0859,-1.3753,0.0973,275000
m,1990-01-27,B.Tech/B.E.,information technology,63.3,2012,0.5591,0.5454,-0.1437,0.9066,0.8637,180000
m,1993-02-23,B.Tech/B.E.,mechanical engineering,79.8,2014,-0.159,0.8784,-1.6807,0.3995,-1.0524,75000
m,1990-12-10,B.Tech/B.E.,information technology,68.0,2012,-0.880999999999999,0.5008,-0.4891,-0.6428,0.7788,300000
m,1992-06-24,B.Tech/B.E.,electronics and communication engineering,69.2,2014,1.1336,0.3789,1.2396,-0.8682,1.0554,275000
m,1991-08-30,B.Tech/B.E.,mechanical and automation,69.0,2013,-2.0262,-3.6171,-1.0659,-0.4879,-2.7769,300000
m,1992-06-02,B.Tech/B.E.,computer engineering,69.0,2013,-0.4463,-2.2851,-0.6048,2.1743,-2.7595,200000
f,1992-05-29,B.Tech/B.E.,computer engineering,64.9,2013,-0.3027,-0.7866,-0.1437,-0.8682,-0.2859,180000
m,1992-07-02,B.Tech/B.E.,electronics and communication engineering,76.32,2014,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,300000
f,1991-09-26,B.Tech/B.E.,electrical engineering,76.0,2013,-0.3027,-0.9531,0.6248,0.3995,-1.244,110000
m,1989-10-26,B.Tech/B.E.,information technology,66.9,2013,-0.4463,0.5454,0.4711,0.7798,-0.8608,400000
f,1992-02-21,B.Tech/B.E.,computer science & engineering,70.82,2013,0.8463,1.2114,1.2396,-0.1076,1.247,220000
m,1989-08-25,B.Tech/B.E.,information technology,58.0,2011,-0.4173,-0.4353,-0.9245,1.8249,-0.2875,520000
m,1992-01-07,B.Tech/B.E.,electronics and communication engineering,66.65,2013,0.7027,0.2124,0.6248,-0.3612,0.6721,360000
f,1992-11-02,B.Tech/B.E.,electronics and communication engineering,66.2,2013,-1.5953,0.2124,0.7785,1.0333,1.0554,170000
m,1989-05-31,B.Tech/B.E.,electronics and electrical engineering,79.0,2011,0.0464,0.9688,1.2525,0.1798,0.1864,475000
m,1989-11-12,B.Tech/B.E.,electronics and communication engineering,60.0,2012,0.8463,0.8784,-0.6048,-0.7415,1.247,100000
f,1989-10-29,B.Tech/B.E.,computer engineering,76.09,2012,-1.8083,0.0328,-1.0697,-0.0552,-0.7615,200000
f,1991-10-07,B.Tech/B.E.,electronics and communication engineering,75.0,2013,0.5591,0.2124,-0.7585,0.3995,0.6721,320000
m,1988-01-09,B.Tech/B.E.,electronics and communication engineering,58.0,2011,-0.1082,-0.7473,-1.0697,0.5323,-0.8799,190000
m,1988-06-11,MCA,computer application,72.27,2014,-1.7389,-1.4526,-1.3733,0.2727,-2.0105,150000
m,1991-05-16,B.Tech/B.E.,electronics & telecommunications,70.26,2013,-0.1082,1.2808,0.5269,-0.5253,0.0679,400000
m,1989-01-31,B.Tech/B.E.,computer science & engineering,74.0,2014,-1.0208,0.2124,-0.1437,1.1601,-0.6692,120000
m,1992-01-18,B.Tech/B.E.,computer science & engineering,70.0,2014,1.9953,0.8784,0.4711,-1.6289,0.4805,195000
m,1988-11-07,B.Tech/B.E.,computer engineering,67.0,2011,-0.880999999999999,-0.2793,-0.6343,-0.6428,-2.9731,675000
m,1993-12-09,B.Tech/B.E.,electronics and communication engineering,61.4,2014,0.1282,-0.4536,1.3933,0.9066,0.0973,180000
m,1991-10-29,B.Tech/B.E.,information technology,75.2,2013,1.5644,0.7119,-0.6048,-0.995,-0.6692,300000
m,1986-04-20,B.Tech/B.E.,electronics & telecommunications,77.0,2010,-0.1082,0.5008,1.2525,-1.7004,0.5024,370000
m,1991-09-20,B.Tech/B.E.,civil engineering,58.0,2012,-1.8083,-1.9953,-1.2148,-0.26087,-3.1311,290000
m,1992-01-09,B.Tech/B.E.,electronics and electrical engineering,71.0,2014,1.1336,1.0449,0.7785,-2.3895,-0.2859,310000
m,1992-06-16,MCA,computer application,73.55,2015,1.4208,0.2124,1.0859,-0.4879,-0.8608,200000
m,1990-05-31,B.Tech/B.E.,electronics and electrical engineering,72.62,2012,0.51,0.1498,0.2729,1.8249,0.1864,345000
f,1989-08-30,B.Tech/B.E.,computer engineering,77.0,2012,0.2009,-0.2793,-0.4891,1.1199,-0.4455,190000
f,1988-08-20,MCA,computer application,72.0,2011,-0.2628,0.1888,0.2366,1.2374,0.8183,200000
m,1992-07-01,B.Tech/B.E.,civil engineering,77.78,2013,0.8463,0.8784,0.4711,-2.0092,-0.2859,600000
m,1990-04-03,B.Tech/B.E.,information technology,63.19,2012,0.626,0.0328,1.5428,0.6204,-0.2875,400000
f,1989-03-10,MCA,computer application,68.0,2013,1.1336,1.2114,1.7007,-0.8682,1.6302,110000
f,1991-10-04,B.Tech/B.E.,information science engineering,65.0,2013,-0.0154,1.3779,1.7007,-1.1218,0.8637,205000
m,1989-04-20,B.Tech/B.E.,mechanical engineering,65.0,2011,-3.3539,0.5008,-0.1988,0.8848,-0.9194,370000
m,1990-08-30,B.Tech/B.E.,mechanical engineering,58.0,2013,0.3941,0.1888,0.3817,1.0611,0.1864,120000
m,1988-10-09,B.Tech/B.E.,electronics and communication engineering,70.0,2011,0.51,-0.4353,-0.344,0.2973,-0.1295,225000
f,1993-02-23,B.Tech/B.E.,computer science & engineering,76.4,2014,0.99,1.0449,0.7785,-0.4879,-0.0943,400000
f,1990-08-10,B.Tech/B.E.,information technology,88.2,2012,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,425000
m,1990-08-17,B.Tech/B.E.,electronics and communication engineering,75.0,2013,-0.5899,-0.6201,1.3933,-0.3612,0.6721,265000
m,1989-01-27,B.Tech/B.E.,electronics & telecommunications,77.1,2012,-1.1901,-0.6693,-1.4688,0.0623,-1.3934,450000
m,1992-08-07,B.Tech/B.E.,computer science & engineering,68.5,2013,-0.159,0.7119,-0.6048,0.5262,1.0554,240000
m,1990-12-10,B.Tech/B.E.,computer science & engineering,67.0,2013,0.7027,0.3789,-0.1437,-0.1076,0.6721,325000
m,1991-04-07,B.Tech/B.E.,electronics and communication engineering,61.8,2013,-0.5719,0.5008,-0.0537,1.11982999999999,1.2528,300000
f,1990-12-10,B.Tech/B.E.,computer engineering,76.0,2012,-0.4173,-0.2012,-0.3803,-0.4078,-0.9194,355000
f,1989-10-06,B.Tech/B.E.,computer engineering,72.8,2011,-1.6538,-1.0593,-1.3599,-0.0552,-1.7093,110000
m,1991-04-05,M.Tech./M.E.,information technology,73.1,2015,0.626,0.8128,0.3817,-1.0541,0.3444,150000
m,1991-06-21,B.Tech/B.E.,electronics and communication engineering,81.0,2013,0.6696,-0.1334,0.3292,-1.5899,-0.8608,335000
f,1992-11-16,B.Tech/B.E.,computer science & engineering,79.57,2015,0.5591,0.8784,0.7785,-1.3753,0.4805,200000
f,1991-07-28,B.Tech/B.E.,computer science & engineering,67.0,2013,-0.159,0.3789,0.4711,-0.6147,0.0973,300000
m,1991-09-13,B.Tech/B.E.,information technology,84.0,2014,-0.7335,0.3789,0.7785,0.7798,0.8637,145000
m,1991-02-03,B.Tech/B.E.,electronics and communication engineering,72.0,2013,-0.7335,0.5454,-0.9122,0.0192,-0.0943,200000
m,1992-09-11,B.Tech/B.E.,computer science & engineering,63.5,2014,-0.3027,0.2124,0.1637,0.1459,-0.0943,205000
m,1984-08-18,B.Tech/B.E.,electronics and communication engineering,63.66,2012,1.9011,1.2808,-0.0537,3.3525,0.9763,140000
f,1993-06-05,B.Tech/B.E.,electronics and communication engineering,81.0,2014,0.5591,0.7119,0.9322,1.5404,1.0554,225000
m,1992-05-18,B.Tech/B.E.,computer science & engineering,73.1,2013,-0.4463,0.5454,0.4711,-0.2344,-0.6692,180000
f,1988-06-02,MCA,computer application,75.81,2011,-0.2628,-0.5913,-0.0537,-0.0552,0.9763,300000
m,1991-01-11,B.Tech/B.E.,other,74.0,2013,-1.0208,-0.2871,-0.4511,0.3995,-0.6692,130000
m,1989-12-24,B.Tech/B.E.,biotechnology,87.6,2011,0.3555,0.8128,-0.0537,1.9424,0.1864,215000
m,1990-06-23,B.Tech/B.E.,electronics and electrical engineering,74.74,2013,0.9737,-0.2793,-1.5051,-0.349,-0.9194,180000
m,1992-08-23,B.Tech/B.E.,computer science & engineering,88.0,2015,0.5591,0.7119,-0.2974,-0.4879,1.4386,335000
m,1991-03-15,MCA,computer application,83.2,2013,0.1282,-0.4536,0.3174,1.1601,0.0973,120000
m,1989-08-22,B.Tech/B.E.,information technology,61.1,2012,-2.4266,-1.8393,-1.2511,-0.6428,-2.9731,180000
f,1987-09-06,M.Tech./M.E.,instrumentation and control engineering,82.0,2014,-0.2628,0.8128,0.9623,-0.8778,0.3444,265000
m,1991-02-18,B.Tech/B.E.,electronics and communication engineering,85.7,2013,-0.4463,-0.2871,-1.2196,1.0333,0.0973,320000
m,1993-11-23,B.Tech/B.E.,electronics and communication engineering,55.0,2014,0.1282,-0.1206,0.9322,1.5404,0.0973,145000
m,1991-05-04,B.Tech/B.E.,information technology,69.8,2012,1.9011,1.6708,1.4702,-0.2902,0.9763,260000
m,1991-02-27,B.Tech/B.E.,computer science & engineering,64.88,2013,0.4155,-0.1206,-1.0659,-1.6289,0.4805,310000
m,1991-10-02,B.Tech/B.E.,computer science & engineering,83.0,2013,0.2718,0.2124,1.547,-1.1218,0.8637,420000
m,1988-12-11,B.Tech/B.E.,information technology,68.0,2012,-1.0355,0.5008,-0.1988,-0.0552,0.6603,465000
m,1990-12-08,B.Tech/B.E.,electronics and communication engineering,68.1,2014,-0.8772,-1.1196,-1.2196,-1.3753,-0.2859,180000
m,1990-11-18,B.Tech/B.E.,computer science & engineering,65.25,2014,-1.308,-0.6201,-0.7585,0.3995,-1.4356,315000
m,1990-07-11,B.Tech/B.E.,computer science & engineering,62.0,2012,0.1282,1.0449,0.9322,1.9207,1.247,135000
m,1992-08-11,B.Tech/B.E.,computer science & engineering,85.78,2014,-0.4463,0.2124,1.0859,0.2727,-0.6692,315000
f,1992-03-11,B.Tech/B.E.,electrical engineering,81.5,2013,1.5644,0.5454,-0.2974,-1.3753,1.0554,360000
m,1990-05-07,B.Tech/B.E.,information technology,77.0,2014,-0.159,0.0459,0.3174,-1.2486,1.0554,275000
f,1991-03-29,B.Tech/B.E.,information technology,63.25,2012,-1.4606,-0.5913,-0.4891,2.2068,-0.1295,120000
m,1991-11-01,B.Tech/B.E.,electronics & telecommunications,74.41,2014,1.1336,0.6211,1.9801,-1.1218,-0.6692,325000
m,1991-05-27,B.Tech/B.E.,information technology,80.05,2013,-0.0154,-0.2871,-0.2974,-0.4879,-2.0105,450000
m,1989-11-18,B.Tech/B.E.,computer engineering,84.0,2011,-1.1901,0.3448,-1.9405,-0.7603,0.0284,550000
f,1989-04-16,B.Tech/B.E.,computer engineering,65.0,2012,-1.2287,0.6568,-0.6343,-0.26087,-0.1295,400000
f,1992-11-23,B.Tech/B.E.,computer science & engineering,74.6,2014,1.1336,0.3789,0.1637,0.0192,-0.6692,65000
m,1990-07-04,B.Tech/B.E.,electronics and communication engineering,82.2,2013,-0.159,0.3789,0.1637,-1.7556,0.2889,350000
m,1992-02-05,B.Tech/B.E.,computer science & engineering,73.0,2016,-0.0154,0.0459,0.1637,-0.4879,0.0973,265000
m,1991-04-30,B.Tech/B.E.,computer science & engineering,74.9,2013,0.7027,-0.6201,-0.6048,0.7798,-1.0524,65000
m,1989-08-10,MCA,computer application,72.0,2013,0.1282,0.2124,1.2396,0.2727,0.6721,180000
m,1992-12-11,B.Tech/B.E.,computer science & engineering,83.55,2014,0.2718,-1.7856,-0.6048,1.6672,-0.2859,325000
m,1992-04-11,B.Tech/B.E.,electronics and communication engineering,86.0,2014,0.8463,0.3789,-0.2974,-0.8682,0.0973,325000
f,1987-08-10,MCA,computer application,78.0,2011,1.1283,1.7488,1.9782,-0.1727,0.8183,400000
m,1991-01-28,B.Tech/B.E.,electronics and electrical engineering,69.4,2014,1.4208,1.0449,0.4711,-2.0092,0.4805,200000
m,1991-03-25,B.Tech/B.E.,computer science & engineering,79.4,2013,1.4208,1.0449,2.008,-1.5021,0.8637,190000
m,1991-12-17,B.Tech/B.E.,mechanical engineering,68.76,0,1.1336,0.3789,-0.2974,-0.3612,-1.244,325000
m,1991-01-15,B.Tech/B.E.,electronics and communication engineering,80.0,2012,0.3555,0.5008,0.2366,-0.17277,-0.2875,365000
m,1991-05-04,B.Tech/B.E.,electronics and communication engineering,66.6,2014,0.8463,0.2124,-0.7585,1.9207,0.6721,180000
m,1990-12-25,B.Tech/B.E.,electronics and communication engineering,73.4,2013,0.4155,0.0459,0.3174,-1.5021,-1.0524,330000
f,1990-01-16,B.Tech/B.E.,electronics and communication engineering,71.7,2012,-1.4992,0.6568,-0.1988,0.6498,-0.1295,390000
m,1990-06-25,B.Tech/B.E.,mechanical engineering,70.0,2014,0.7027,0.7119,0.9322,-0.1076,0.6721,240000
m,1988-10-31,B.Tech/B.E.,electronics & instrumentation eng,72.0,2010,-1.4992,-0.5913,0.2366,-0.1727,0.8183,360000
m,1992-05-23,B.Tech/B.E.,computer science & engineering,68.6,2013,-0.8772,0.0459,0.4711,1.4136,0.6721,350000
f,1992-07-05,B.Tech/B.E.,electronics and communication engineering,60.81,2014,0.5591,-0.7866,0.1637,-0.2344,0.6721,215000
m,1988-07-09,B.Tech/B.E.,electronics and communication engineering,75.0,2011,0.51,0.1888,-0.6343,-0.5253,-0.1295,600000
m,1992-07-07,B.Tech/B.E.,computer science & engineering,74.04,2014,1.2772,0.2124,0.3174,2.1743,1.0554,200000
f,1989-12-06,B.Tech/B.E.,electronics and communication engineering,78.0,2012,-0.4463,0.5454,0.01,0.0192,0.4805,190000
m,1992-12-17,B.Tech/B.E.,electronics and electrical engineering,75.9,2014,-0.3027,0.7119,0.01,-0.7415,-1.6273,95000
f,1991-09-24,B.Tech/B.E.,computer science & engineering,74.01,2012,0.1282,0.5454,0.1637,-0.4879,0.8637,205000
m,1992-01-13,B.Tech/B.E.,computer science & engineering,78.0,2013,0.4155,-0.7866,-1.2196,1.1601,-1.8189,330000
m,1991-11-03,B.Tech/B.E.,electronics and computer engineering,57.8,2013,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,120000
m,1990-09-11,B.Tech/B.E.,electronics and communication engineering,81.0,2012,0.0464,0.0328,-0.7068,-0.1727,-0.2875,600000
m,1991-04-05,B.Tech/B.E.,mechanical engineering,82.0,2013,-0.0154,0.0459,0.3174,0.7798,-0.6692,350000
m,1989-05-03,B.Tech/B.E.,computer engineering,69.3,2012,0.8578,0.3448,-0.7794,-0.1727,-0.7615,500000
m,1991-07-18,B.Tech/B.E.,electrical engineering,72.65,2013,-1.308,0.3789,0.4711,-0.6147,-0.0943,335000
m,1986-11-19,B.Tech/B.E.,electronics and communication engineering,72.98,2010,-1.4992,0.5008,0.672,-0.9953,-0.1295,400000
m,1990-12-12,B.Tech/B.E.,electronics and communication engineering,65.2,2013,0.4155,0.8784,0.01,-2.3895,1.0554,180000
f,1988-12-20,B.Tech/B.E.,electrical engineering,65.0,2011,0.51,0.0328,1.3977,0.4148,0.8183,430000
m,1988-08-09,B.Tech/B.E.,computer engineering,71.0,2010,-0.2628,-0.1232,-0.4891,-0.4078,0.3444,300000
f,1990-10-08,B.Tech/B.E.,electronics & telecommunications,75.25,2012,-1.6538,-1.5273,-0.9245,0.53233,-1.9463,320000
m,1991-09-01,B.Tech/B.E.,electronics and communication engineering,67.8,2013,-0.3027,-0.7866,0.3174,0.1459,-1.6273,230000
f,1992-04-25,B.Tech/B.E.,computer science & engineering,67.0,2014,0.4155,-0.7866,-0.2974,0.2727,0.0973,250000
m,1991-11-15,B.Tech/B.E.,computer science & engineering,78.44,2013,0.5591,0.5454,1.2396,0.1459,0.8637,120000
f,1992-04-29,B.Tech/B.E.,electronics and communication engineering,71.0,2013,1.1336,-0.4536,-1.3733,0.2727,0.8637,200000
m,1988-04-25,B.Tech/B.E.,mechanical engineering,68.63,2010,0.2009,1.1248,1.1074,-1.1128,0.9763,1200000
m,1988-10-15,B.Tech/B.E.,electronics and communication engineering,62.0,2010,-0.2628,0.3448,-0.1988,0.5323,0.6603,270000
m,1992-09-09,B.Tech/B.E.,electronics and communication engineering,77.15,2013,-0.159,0.5454,0.4711,-0.1076,0.8637,310000
m,1991-11-16,B.Tech/B.E.,electrical engineering,77.5,2013,0.5591,-0.1206,-2.1418,0.7798,-1.0524,180000
m,1990-11-01,B.Tech/B.E.,instrumentation and control engineering,79.0,2012,0.8463,-0.1206,-0.6048,-0.3612,0.4805,300000
m,1990-11-13,B.Tech/B.E.,computer engineering,79.68,2012,-1.1901,-0.1232,-0.344,0.1798,-0.2875,770000
m,1991-07-21,B.Tech/B.E.,electronics and communication engineering,77.5,2015,0.6646,1.4368,0.2366,-0.29027,0.8973,360000
m,1989-04-29,B.Tech/B.E.,computer engineering,55.5,2012,0.51,0.0328,-1.0697,-0.6134,-0.4455,210000
m,1992-12-17,B.Tech/B.E.,computer science & engineering,63.77,2014,-0.4463,-0.4536,-0.1437,-0.4879,-1.4356,400000
m,1990-11-24,MCA,computer application,84.0,2014,-0.3027,-0.6201,0.1637,0.7798,-0.2859,60000
m,1991-05-26,B.Tech/B.E.,information technology,70.85,2013,0.1282,-0.6201,-0.1437,0.0192,-0.0943,330000
m,1992-12-29,B.Tech/B.E.,electronics and electrical engineering,70.0,2014,0.7027,-0.4536,-0.1437,-0.7415,-0.6692,105000
m,1988-11-28,B.Tech/B.E.,electronics & telecommunications,71.82,2010,-0.7264,-0.7473,0.2366,-0.0552,0.0284,160000
m,1989-05-09,B.Tech/B.E.,information technology,80.0,2012,1.0896,1.2808,-0.1988,-0.4371,0.0284,350000
m,1991-08-01,B.Tech/B.E.,electronics and communication engineering,73.0,2014,1.2772,1.2114,1.2396,-0.4879,-0.6692,350000
f,1991-08-20,B.Tech/B.E.,information technology,74.01,2012,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,200000
m,1991-11-17,B.Tech/B.E.,information technology,94.5,2012,0.51,0.9688,0.8171,-1.23027,-0.1295,400000
m,1987-12-27,B.Tech/B.E.,civil engineering,65.0,2011,-1.3447,0.0328,-2.3759,-0.9953,0.3444,700000
m,1992-08-09,B.Tech/B.E.,computer science & engineering,69.11,2015,0.8463,0.8784,1.2396,-0.995,0.2889,180000
f,1990-07-22,B.Tech/B.E.,information technology,63.54,2012,-0.880999999999999,-0.2793,-0.1988,-0.0552,-0.5245,360000
m,1989-10-29,B.Tech/B.E.,electronics and communication engineering,65.44,2011,1.2828,0.8128,1.2525,-0.2902,0.8183,180000
m,1992-06-11,B.Tech/B.E.,information technology,68.0,2014,-3.1994,-1.8393,0.0552,0.0623,-0.7615,220000
m,1985-04-08,MCA,computer application,72.0,2011,0.51,0.9688,1.688,-0.9953,1.1343,460000
f,1992-11-15,B.Tech/B.E.,electronics and communication engineering,69.37,2013,0.8192,0.6568,0.9623,-0.2902,0.0679,310000
m,1993-02-15,B.Tech/B.E.,electronics and communication engineering,69.53,2014,0.8463,1.2114,0.3174,-0.2344,0.0973,300000
m,1991-12-30,B.Tech/B.E.,electronics and communication engineering,80.0,2014,1.1336,0.2124,1.0859,1.5404,1.247,100000
m,1993-03-16,B.Tech/B.E.,electronics and communication engineering,72.14,2013,0.8463,0.8784,0.1637,-1.7556,-0.4776,310000
f,1989-05-28,B.Tech/B.E.,computer engineering,82.84,2011,0.9737,0.3448,0.672,-0.5253,0.3444,510000
f,1990-06-03,B.Tech/B.E.,computer engineering,77.0,2012,-1.0355,-0.2012,-0.8157,-0.9953,-0.7615,330000
m,1991-05-17,B.Tech/B.E.,computer science & engineering,70.59,2013,-1.6538,-0.2012,-0.2714,1.2374,-1.0774,345000
m,1991-04-07,B.Tech/B.E.,information technology,62.0,2012,-0.1082,-0.9033,-0.0537,0.6498,-1.2354,240000
m,1992-01-24,B.Tech/B.E.,electronics and electrical engineering,75.6,2013,0.8463,-0.6201,-0.1437,-1.3753,-1.244,100000
f,1988-05-17,B.Tech/B.E.,computer engineering,65.7,2012,-0.2628,0.1888,-0.4891,0.0623,0.6603,205000
m,1989-06-18,B.Tech/B.E.,computer engineering,76.0,2012,-1.0355,0.1888,-0.4891,1.4297,-0.2875,110000
m,1984-09-21,B.Tech/B.E.,electronics and electrical engineering,63.3,2011,0.6646,0.8128,0.3817,-0.1727,-1.0774,2500000
m,1992-06-07,B.Tech/B.E.,electronics and electrical engineering,66.0,2013,1.4208,0.7119,0.9322,0.5262,1.4386,220000
m,1993-06-21,B.Tech/B.E.,computer science & engineering,66.76,2014,0.2718,0.7119,0.9322,-1.3753,0.0973,120000
m,1988-01-03,B.Tech/B.E.,information technology,71.23,2012,-0.3027,0.3789,0.6248,1.1601,-0.0943,185000
m,1992-08-22,B.Tech/B.E.,electronics and electrical engineering,75.5,2014,-0.8772,1.5444,1.2396,-1.1218,1.247,325000
f,1990-03-18,B.Tech/B.E.,computer engineering,9.3,2012,1.1283,1.4368,-0.7068,-1.7004,0.1864,490000
m,1991-01-04,B.Tech/B.E.,computer science & engineering,72.0,2013,0.99,0.2124,0.9322,0.1459,1.0554,525000
m,1988-10-09,B.Tech/B.E.,computer engineering,69.1,2010,-0.7264,-0.2793,0.0914,-0.5253,0.5024,430000
f,1993-03-11,B.Tech/B.E.,computer science & engineering,78.34,2014,-0.0154,-0.2871,0.4711,-2.0092,-0.6692,340000
m,1989-12-05,B.Tech/B.E.,computer engineering,74.97,2012,-3.3539,-0.5523,-2.0131,0.0623,-2.0253,450000
m,1989-10-01,B.Tech/B.E.,computer engineering,71.6,2013,0.2718,1.0449,1.547,-0.2344,1.6302,180000
m,1988-10-26,MCA,computer application,76.2,2012,0.4155,0.8784,0.9322,0.7798,0.8637,435000
m,1988-06-18,B.Tech/B.E.,information technology,6.95,2011,-1.0355,0.6568,0.9623,1.4724,0.8183,145000
m,1990-09-25,B.Tech/B.E.,electronics and communication engineering,66.7,2013,1.4208,0.8784,0.9322,-0.8682,1.0554,180000
m,1991-10-21,B.Tech/B.E.,electronics & telecommunications,64.53,2013,0.5591,-0.4536,0.7785,-2.136,0.4805,300000
m,1991-05-28,B.Tech/B.E.,electronics and communication engineering,77.5,2012,-1.1901,0.3448,-1.3599,0.17983,-0.168999999999999,200000
m,1991-05-02,B.Tech/B.E.,electronics and communication engineering,68.0,2012,-0.5332,0.5008,0.3817,0.4442,0.5024,200000
m,1989-09-22,B.Tech/B.E.,electronics and communication engineering,61.0,2011,-1.1901,-0.9033,-0.4891,0.6498,-0.1295,180000
m,1991-06-15,B.Tech/B.E.,information technology,56.0,2014,-1.308,-1.7856,0.01,0.0192,-2.3937,120000
f,1991-05-27,M.Tech./M.E.,computer science & engineering,83.0,2014,-1.3447,0.8518,0.2729,-0.6428,-0.7615,215000
